ID,Title,Company,Location,Date Posted
consultant,Travel Consultant,Travelwaka,Lagos,PostedPosted 14 days ago
consultant,Educational Consultant,Subtle Innovative Services Limited,Lagos,PostedPosted 13 days ago
consultant,"Technical Director for Health Service Delivery, USAID/Nigeria/Strengthening Quality of Care through Primary Health Care",MSH,Nigeria,PostedPosted 6 days ago
consultant,Accounts Receivable Analyst,Trustwave,Plateau,PostedPosted 2 days ago
consultant,Internal Job: Sales Leader – Nigeria,INTECH,Nigeria,PostedPosted 13 days ago
consultant,Security Officer,FHI 360,Maiduguri,PostedPosted 7 days ago
consultant,Lead Consultant - Orphans and Vulnerable Children (OVC) Activity Design,Navanti Group,Abuja,PostedPosted 30+ days ago
consultant,Deputy Chief of Party,"John Snow, Inc",Nigeria,PostedPosted 16 days ago
consultant,Junior and Mid-Level Communications/Marketing/Public Relation Professionals,DAI,Abuja,PostedPosted 30+ days ago
consultant,Regional Health Lead,Palladium,Nigeria,PostedPosted 21 days ago
consultant,"Senior Technical Advisor, Health Financing - USAID/Nigeria Health Financing and Human Resources for Health",Banyan Global,Abuja,PostedPosted 30+ days ago
consultant,Business Development Manager,Edubex,Nigeria,PostedPosted 30+ days ago
consultant,PROPERTY CONSULTANT,Pruvia Integrated,Lagos,PostedToday
consultant,IT Consulting,VIASTORE,Enugu,PostedPosted 30+ days ago
consultant,National Programme Officer (HIV/AIDS Prevention Care) - UNODC,PNUD Argentina,Nigeria,PostedPosted 30+ days ago
consultant,Community Health Plan Liaison,Kahnawake Shakotiia’takehnas Community Services...,Kebbi,PostedPosted 8 days ago
consultant,Head Of Strategy,SENCE,Lagos,PostedPosted 30+ days ago
consultant,Travel Consultant,WASTOY INTERNATIONAL TRAVELS AND TOURS,Lagos,PostedPosted 30+ days ago
consultant,Cyber Threat Engineer - Global Threat Operations,Trustwave,Plateau,PostedToday
consultant,Bénin: Coordinateur.trice de Zone – Cotonou (avec déplacements fréquents au Togo),Acted,Nigeria,PostedPosted 6 days ago
consultant,Junior and Mid-Level Legal Professionals,DAI,Nigeria,PostedPosted 30+ days ago
consultant,Receptionist,Shodex Garden,Lagos,PostedPosted 18 days ago
consultant,Head of Architecture and Designs,Building and Construction Company,Lagos,PostedPosted 30+ days ago
consultant,Associate Consultant,Smart Gate Realty,Lagos,PostedPosted 30 days ago
consultant,Call for Local and International Health Consultants,Palladium,Nigeria,PostedPosted 30+ days ago
consultant,National HR Support,FAO,Nigeria,PostedPosted 7 days ago
consultant,Expert.e Technique International.e (ETI) Conseiller.ère technique climat auprès du Conseil national sur le changement climatique (NCCC) du Nigéria (H/F),Expertise France,Abuja,PostedJust posted
consultant,Registered Staff nurse midwife,Sancta Maria Hospital,Abia,PostedPosted 30+ days ago
consultant,Contract Manager,Adexen,Nigeria,PostedPosted 20 days ago
consultant,Junior and Mid-Level Communications/Marketing/Public Relation Professionals,DAI,Nigeria,PostedPosted 30+ days ago
consultant,Site Procurement and Contracts Manager - Expatriate,Adexen,Nigeria,PostedPosted 30+ days ago
consultant,Senior Project Manager – Essential Medicines Supply Chain Strengthening,Field Intelligence,Nigeria,PostedPosted 30+ days ago
consultant,Senior Lead - Sales and Trade Development Bwari.Sales and Distribution,MTN,Abuja,PostedPosted 5 days ago
consultant,Grants Compliance Manager,Management Sciences for Health (MSH),Abuja,PostedPosted 30+ days ago
consultant,Content developer Intern,ValueGate Consulting,Nigeria,PostedPosted 30+ days ago
consultant,Technical Service Consultants: Early Warning & Early Response (Coordinator),Search for Common Ground,Abuja,PostedPosted 1 day ago
consultant,"Director for Monitoring, Evaluation, Research and Learning, USAID/Nigeria/Strengthening Quality of Care through Primary Health Care",Management Sciences for Health (MSH),Abuja,PostedPosted 6 days ago
consultant,"Senior Technical Advisor, Human Resources for Health - USAID/Nigeria Health Financing and Human Resources for Health",Banyan Global,Abuja,PostedPosted 30+ days ago
