ID,Title,Company,Location,Date Posted
engineer,Sygnite Power and Energy Solutions Recruitent for Engineering Intern,Sygnite Power and Energy Solutions LTD,Abuja,PostedPosted 9 days ago
engineer,Managed Security Services Engineer,Main One,Lagos,PostedPosted 30+ days ago
engineer,Electronics Design Engineer,EN1 TECHNOLOGIES,Lagos,PostedPosted 29 days ago
engineer,Project Engineer,Jobberman (Third Party Recruitment),Lagos,PostedPosted 21 days ago
engineer,Information Technology Engineer,Cirrus Energy,Lagos,PostedPosted 30+ days ago
engineer,Infrastructure / Cloud / DevOps Engineer (Junior Associate),Bincom ICT Solutions,Lagos,PostedPosted 30+ days ago
engineer,Engineer,SOLAR PRO ENERGY LTD,Kano,PostedPosted 30+ days ago
engineer,Electrical Engineer,Wellcome Nigeria Food Industry Co. Limited,Abuja,PostedPosted 7 days ago
engineer,PHP Software Engineer - Jumia (Full Time),Jumia,Nigeria,PostedPosted 30+ days ago
engineer,Civil Engineer,African Foundries Limited (AFL),Ogun,PostedPosted 15 days ago
engineer,Head Electrical Engineer M/F H/F,SPIE,Nigeria,PostedPosted 30+ days ago
engineer,Hardware Engineer,Coniah Systems Support Limited,Lagos,PostedPosted 30+ days ago
engineer,Quality Facility Engineer,Ogeyi Place Hotels Limited,Port Harcourt,PostedPosted 29 days ago
engineer,Network Engineer,Zeta-Web Nigeria Limited,Lagos,PostedPosted 20 days ago
engineer,Quality Assurance Engineer,Trusoft Limited,Lagos,PostedPosted 5 days ago
engineer,Business Intelligence Engineer,NewGlobe,Lagos,PostedPosted 20 days ago
engineer,Software Backend Engineer,ING,Lagos,PostedPosted 30+ days ago
engineer,Principal Electrical Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Full Stack Engineer,EDEN SOLUTIONS AND RESOURCES LIMITED,Abuja,PostedPosted 22 days ago
engineer,Electrical Maintenance Engineer,Agrited Nigeria,Lagos,PostedPosted 9 days ago
engineer,Drilling Engineer,Rit-beulah Engineering Services Limited,Lagos,PostedPosted 30+ days ago
engineer,Electrical Engineer,Bodge Limited,Lagos,PostedPosted 13 days ago
engineer,IT Security Engineer,Dangote Industries Limited,Lagos,PostedPosted 30+ days ago
engineer,Software Engineer,ENGIE Energy Access,Lagos,PostedPosted 6 days ago
engineer,Fiber Optics Engineer,BlueChip Communications Limited,Lagos,PostedPosted 30+ days ago
engineer,Reliability Engineer,Renolit,Lagos,PostedPosted 30+ days ago
engineer,Mechanical Engineer,Frutta Juice and Services Nigeria Limited,Lagos,PostedPosted 18 days ago
engineer,Electrical Engineer,Odixcity Consulting,Rivers,PostedPosted 6 days ago
engineer,DevOps Engineer,OnfleekQ Technologies Limited,Abuja,PostedPosted 9 days ago
engineer,Senior Structural Engineer (Nigeria),Hire Resolve,Lagos,PostedPosted 12 days ago
engineer,Mid-level Devops Engineer,Gloopro,Lekki,PostedPosted 30+ days ago
engineer,Product Development Engineer/ Product Development Scientist,Renolit,Lagos,PostedPosted 30+ days ago
engineer,Associate Data & ML Engineer,TUA,Lagos,PostedPosted 30+ days ago
engineer,DCS Engineer (Cement Industry),Dangote Industries Limited,Nigeria,PostedPosted 30+ days ago
engineer,Physics/Engineer,Dmholdings Ltd,Lagos,PostedPosted 30+ days ago
engineer,Senior Mobile Engineer - Ecommerce,Recruitment Room,Lagos,PostedPosted 22 days ago
engineer,Electrical Design Engineer,JMG,Lagos,PostedPosted 30+ days ago
engineer,Senior Fullstack Engineer,Top Remote Talent,Abuja,PostedPosted 30+ days ago
engineer,DevOps Engineer,TUA,Lagos,PostedPosted 30+ days ago
engineer,"Engineer, Materials",Aurecon Group,Plateau,PostedPosted 30+ days ago
engineer,Contracts Engineer,Aspire Capital Group,Lagos,PostedPosted 30+ days ago
engineer,Technical Sales Engineer AC Power,Vertiv Group Corp,Lagos,PostedPosted 22 days ago
engineer,Solutions Engineer,Authority Wit,Nigeria,PostedPosted 30+ days ago
engineer,Engineering Project Manager,APTEC Engineers Technical Services (AETS),Nigeria,PostedPosted 30+ days ago
engineer,Service Engineer - MAN Trucks at NIGERIA,Synergy Expat Jobs,Nigeria,PostedPosted 9 days ago
engineer,Senior Software Engineer,King of CMS Consulting,Lagos,PostedPosted 13 days ago
engineer,Senior .NET Software Engineer,AltexSoft,Nigeria,PostedPosted 30 days ago
engineer,Structural Engineer,WTS Energy,Rivers,PostedPosted 23 days ago
engineer,Data & ML Engineer,TUA,Lagos,PostedPosted 30+ days ago
engineer,I.T Support Engineer,Tybitx Services International Limited,Lagos,PostedPosted 21 days ago
